[2024-10-02 14:26:16.257]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible
[2024-10-02 14:38:45.838]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:38:45.846]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:38:45.956]	 Already installed "tmux-copycat"
[2024-10-02 14:38:45.959]	 Already installed "tmux-cpu"
[2024-10-02 14:38:45.962]	 Already installed "tmux-sensible"
[2024-10-02 14:38:45.962]	 Already installed "tmux"
[2024-10-02 14:38:45.963]	 Already installed "tmux-continuum"
[2024-10-02 14:38:45.963]	 Already installed "tmux-pain-control"
[2024-10-02 14:38:45.964]	 Already installed "tmux-resurrect"
[2024-10-02 14:38:45.959]	 Already installed "tmux-copycat"
[2024-10-02 14:38:45.961]	 Already installed "tmux-pain-control"
[2024-10-02 14:38:45.961]	 Already installed "tmux-continuum"
[2024-10-02 14:38:45.961]	 Already installed "tmux-resurrect"
[2024-10-02 14:38:45.962]	 Already installed "tmux-cpu"
[2024-10-02 14:38:45.964]	 Already installed "tmux-sensible"
[2024-10-02 14:38:45.966]	 Already installed "tmux"
[2024-10-02 14:38:45.973]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:38:45.974]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:38:46.085]	 Updating all plugins!
[2024-10-02 14:38:46.085]	 
[2024-10-02 14:38:46.470]	   "tmux-cpu" update success
[2024-10-02 14:38:46.474]	     | Already up to date.
[2024-10-02 14:38:46.485]	   "tmux-copycat" update success
[2024-10-02 14:38:46.488]	   "tmux-resurrect" update success
[2024-10-02 14:38:46.491]	     | Already up to date.
[2024-10-02 14:38:46.491]	     | Already up to date.
[2024-10-02 14:38:46.520]	   "tmux-continuum" update success
[2024-10-02 14:38:46.524]	     | Already up to date.
[2024-10-02 14:38:46.536]	   "tmux-sensible" update success
[2024-10-02 14:38:46.538]	     | Already up to date.
[2024-10-02 14:38:46.561]	   "tmux" update success
[2024-10-02 14:38:46.563]	   "tmux-pain-control" update success
[2024-10-02 14:38:46.563]	     | Already up to date.
[2024-10-02 14:38:46.565]	     | Already up to date.
[2024-10-02 14:38:46.576]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:38:46.085]	 Updating all plugins!
[2024-10-02 14:38:46.085]	 
[2024-10-02 14:38:46.473]	   "tmux-copycat" update success
[2024-10-02 14:38:46.478]	     | Already up to date.
[2024-10-02 14:38:46.498]	   "tmux-resurrect" update success
[2024-10-02 14:38:46.501]	     | Already up to date.
[2024-10-02 14:38:46.524]	   "tmux-cpu" update success
[2024-10-02 14:38:46.527]	     | Already up to date.
[2024-10-02 14:38:46.554]	   "tmux-continuum" update success
[2024-10-02 14:38:46.554]	   "tmux-pain-control" update success
[2024-10-02 14:38:46.556]	     | Already up to date.
[2024-10-02 14:38:46.556]	     | Already up to date.
[2024-10-02 14:38:46.565]	   "tmux" update success
[2024-10-02 14:38:46.567]	     | Already up to date.
[2024-10-02 14:38:46.585]	   "tmux-sensible" update success
[2024-10-02 14:38:46.586]	     | Already up to date.
[2024-10-02 14:38:46.596]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:38:46.620]	 Done.

[2024-10-02 14:38:46.637]	 Done.

[2024-10-02 14:39:00.757]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:39:00.766]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-10-02 14:39:00.949]	 Already installed "tmux-resurrect"
[2024-10-02 14:39:00.949]	 Already installed "tmux-pain-control"
[2024-10-02 14:39:00.949]	 Already installed "tmux-cpu"
[2024-10-02 14:39:00.950]	 Already installed "tmux-continuum"
[2024-10-02 14:39:00.950]	 Already installed "tmux-copycat"
[2024-10-02 14:39:00.951]	 Already installed "tmux-sensible"
[2024-10-02 14:39:00.951]	 Already installed "tmux"
[2024-10-02 14:39:00.962]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-10-02 14:39:01.073]	 Updating all plugins!
[2024-10-02 14:39:01.074]	 
[2024-10-02 14:39:01.612]	   "tmux-copycat" update success
[2024-10-02 14:39:01.613]	   "tmux-cpu" update success
[2024-10-02 14:39:01.620]	     | Already up to date.
[2024-10-02 14:39:01.624]	     | Already up to date.
[2024-10-02 14:39:01.653]	   "tmux-sensible" update success
[2024-10-02 14:39:01.656]	   "tmux-pain-control" update success
[2024-10-02 14:39:01.658]	     | Already up to date.
[2024-10-02 14:39:01.658]	   "tmux-continuum" update success
[2024-10-02 14:39:01.660]	     | Already up to date.
[2024-10-02 14:39:01.662]	     | Already up to date.
[2024-10-02 14:39:01.662]	   "tmux-resurrect" update success
[2024-10-02 14:39:01.666]	     | Already up to date.
[2024-10-02 14:39:01.676]	   "tmux" update success
[2024-10-02 14:39:01.681]	     | Already up to date.
[2024-10-02 14:39:01.702]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-10-02 14:39:01.796]	 Done.

[2024-10-02 14:39:47.736]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible catppuccin/tmux#latest
[2024-10-02 14:39:47.745]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
